500		803.17
1000		817.8
1500		818.53
2000		813.64
2500		875.11
3000		912.14
3500		913.49
4000		867.41
4500		851.33
5000		840.91
5500		856.26
6000		865.35
6500		891.87
7000		865.37
7500		875.16
8000		871.55
8500		882.12
9000		880.6
9500		873.74
10000		882.8
10500		900.99
11000		874.4
11500		921.26
12000		933.73
12500		932.35
13000		926.07
13500		942.19
14000		957.5
14500		948.46
15000		906.54
15500		946.42
16000		958.84
16500		918.41
17000		882.1
17500		930.32
18000		950.58
18500		917.62
19000		1005
19500		973.61
20000		968.67
20500		1036.47
21000		1008.52
21500		933.12
22000		979.86
22500		993.89
23000		970.82
23500		990.33
24000		1024.57
24500		984.79
25000		1069.22
25500		962.41
26000		932.39
26500		940.13
27000		966.55
27500		1024.57
28000		974.87
28500		993.08
29000		1034.33
29500		938.71
30000		958.24
30500		991.03
31000		1060.2
31500		1123.78
32000		1157.94
32500		1155.2
33000		1202
33500		1225.79
34000		1201.96
34500		1120.93
35000		1029.47
35500		1000.76
36000		1104.23
36500		1227.12
37000		961.78
37500		964.56
38000		951.24
38500		1062.3
39000		1091.65
39500		1036.47
40000		1035.69
40500		1133.53
41000		1103.51
41500		1286.49
42000		1244.55
42500		1252.92
43000		1189.32
43500		1126.54
44000		1157.96
44500		1306.01
45000		1229.17
45500		1185.93
46000		1204.04
46500		1350.71
47000		1278.82
47500		1329.69
48000		1428.27
48500		1329.09
49000		1328.4
49500		1305.3
50000		1442.93
